Price,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,OBV,ATRr_14,ADX_14,DMP_14,DMN_14,STOCHk_14_3_3,STOCHd_14_3_3
2015-02-03,227.26800537109372,245.95700073242188,224.4830017089844,237.45399475097656,40783700.0,44.16587611823495,-8.708908743702722,0.06942150192623764,-8.77833024562896,214.09404280195514,227.2716033935547,240.44916398515426,11.596310665156567,0.4998634791911611,-70421604.0,21.751510545405015,22.451175384027255,25.623307166853966,23.40568877881323,23.007214937564395,23.375126086804368
2015-02-04,226.85299682617188,230.05799865722656,221.11300659179688,227.5110015869141,26594300.0,44.03486233620783,-8.627526103862579,0.12064331341310464,-8.748169417275683,214.1972023758863,227.3572021484375,240.5172019209887,11.57649693802906,0.4808432625007609,-97015904.0,20.756690023232185,20.58300820829088,24.765537472841324,23.883358924525236,21.109088941376072,22.777808059895808
2015-02-05,217.11099243164065,239.40499877929688,214.7250061035156,227.6649932861328,22516400.0,40.96302562253549,-9.242585342254046,-0.39553273998268956,-8.847052602271356,213.91299817648556,227.2865997314453,240.66020128640506,11.768051060433457,0.11956368828593833,-119532304.0,21.059561666968968,19.54259690912135,25.951344291444986,21.7226418345912,12.275864541807849,18.797389473582772
2015-02-06,222.26600646972656,230.50999450683597,216.23199462890625,216.92300415039065,24435300.0,43.22018222969008,-9.207914561975457,-0.2886895677632797,-8.919224994212177,212.36699961247024,226.34540100097655,240.32380238948286,12.35138980221295,0.3540822223561181,-95097004.0,20.539040928470886,18.610811076419022,24.56664526402478,20.56357582692886,10.333540975342848,14.57283148617559
2015-02-07,227.7539978027344,230.2989959716797,222.60699462890625,222.63299560546875,21604200.0,45.60452464662434,-8.638028863545998,0.22495690453294515,-8.862985768078943,216.09865846501054,224.25039978027343,232.4021410955363,7.270213407200323,0.7148987490501587,-73492804.0,19.58422138504217,17.773668687159017,23.797306113264938,19.91959844242035,10.64198991565035,11.083798477600348
2015-02-08,223.41200256347656,229.43800354003903,221.07699584960935,227.6929931640625,17145200.0,44.0291791043897,-8.439468134705379,0.3388141066988517,-8.77828224140423,215.9062567021523,223.47919921875,231.05214173534773,6.777313094974028,0.4955633721551317,-90638004.0,18.73153992795477,16.885869227650765,22.990289409038265,19.86464783404001,12.799079584350332,11.258203491781176
2015-02-09,220.1100006103516,223.9770050048828,217.0189971923828,223.38900756835935,27791300.0,42.81784114196811,-8.45113190028232,0.26172027289752897,-8.712852173179849,215.05601377859654,222.13059997558594,229.20518617257534,6.369753827493338,0.35719310578940894,-118429304.0,17.841096300419377,15.727659132133192,22.312167977107787,20.998964176695228,13.541433940235846,12.32750114674551
2015-02-10,219.8390045166016,221.8070068359375,215.33200073242188,220.2819976806641,21115100.0,42.71397711937333,-8.385578904719722,0.2618186147681012,-8.647397519487823,216.9400885730269,222.67620239257812,228.41231621212933,5.151977407481056,0.252689890295926,-139544404.0,16.98506528107203,14.530361589217556,21.67155882840967,21.14409960547778,12.93690900078812,13.092474175124766
2015-02-11,219.18499755859372,223.406005859375,218.07400512695312,219.73199462890625,17201900.0,42.4463777852171,-8.290829062627495,0.2852547654882631,-8.576083828115758,215.6568464186005,222.06000061035155,228.4631548021026,5.767048702288937,0.27550102920669983,-156746304.0,16.110818174046912,13.58544607140372,21.87806927289806,20.61910377783859,16.076677097856685,14.185006679626886
2015-02-12,221.76400756835935,222.19900512695312,217.61399841308597,219.2079925537109,15206200.0,43.93793343944358,-7.91637948114797,0.5277634775742293,-8.4441429587222,217.79730150051648,220.86200256347655,223.92670362643662,2.775218034237702,0.6471603569732158,-141540104.0,15.249214882930346,12.68157725334541,21.38632725067121,20.38116197439602,21.399173159562732,16.804253086069178
2015-02-13,235.427001953125,240.25900268554688,221.26199340820312,221.968994140625,42744400.0,51.15939902230763,-6.4428666731568285,1.6010210284522977,-8.043887701609126,210.98476935207293,223.26500244140624,235.54523553073955,11.000589393813424,0.9951860206254047,-98795704.0,15.528449766407318,13.31136677360977,28.10228672030456,18.523443123002245,39.60776944552956,25.694539900982992
2015-02-14,257.3210144042969,259.8080139160156,235.5279998779297,235.5279998779297,49732500.0,60.041732048274184,-3.468451181638329,3.6603492159766384,-7.128800397614968,201.56711377057346,230.70720520019532,259.8472966298172,25.26153563720359,0.9566528088694964,-49063204.0,16.185998953349724,15.009285296842796,33.92914140080848,16.45094954186113,64.16511847940848,41.72402036150026
2015-02-15,234.8249969482422,265.6109924316406,227.6840057373047,257.5069885253906,56552400.0,49.983190961618504,-2.8930962639043685,3.3885633069684795,-6.281659570872848,206.64367805534226,233.70440368652345,260.76512931770463,23.15807935521725,0.5207051591481996,-105615604.0,17.796284400400342,15.801827319207327,28.573450941810105,17.118790644559546,67.75761913052027,57.176835685152774
2015-02-16,233.84300231933597,239.52099609375,229.02200317382807,234.8249969482422,28153700.0,49.592631564409125,-2.4876856148357263,3.0351791648296977,-5.522864779665424,213.63012323121174,236.63600463867186,259.641886046132,19.444109059049282,0.4392980805675582,-133769304.0,17.25721953063408,16.52660095247852,27.289291791774875,16.349431294563022,57.28887366672283,63.070537092217194
2015-02-17,243.6100006103516,245.7749938964844,232.31399536132807,233.4219970703125,27363100.0,53.48565241728961,-1.362572728506251,3.3282336409273388,-4.69080636943359,223.2603659195969,241.0052032470703,258.75004057454373,14.725688149796515,0.5733959211688124,-106406204.0,16.97746895533489,17.55091256603327,28.409412948341384,15.394160535566837,44.61148440636066,56.55265906786792
2015-02-18,236.3260040283203,244.25100708007807,232.33999633789065,243.77999877929688,25200800.0,50.361822040416044,-1.046605690449951,2.915360543186911,-3.961966233636862,223.65295302495107,241.18500366210938,258.7170542992677,14.53825932040122,0.3614252338659497,-131607004.0,16.604955345181683,18.489784802221667,26.91107132722112,14.582256695998288,45.594732898653,49.16503032391216
2015-02-19,240.2830047607422,242.6719970703125,235.5919952392578,236.41000366210935,18270500.0,52.001866334599704,-0.4714678592958421,2.792398699472816,-3.263866558768658,230.478086463969,237.77740173339845,245.0767170028279,6.139620684066199,0.6716327446382232,-113336504.0,15.906094295787577,19.35120781978378,26.032192958091738,14.106020360871739,49.613016383262526,46.6064112294254
2015-02-20,243.7790069580078,247.1009979248047,239.2989959716797,240.25100708007807,23876700.0,53.46475736862376,0.26339492283523214,2.8218091852831124,-2.5584142624478803,231.67553795204077,239.56820373535157,247.46086951866238,6.58907622985707,0.7667541828237593,-89459804.0,15.312637201696056,20.421165853308448,27.17896858216405,13.579705645464758,49.55107336395917,48.25294088195824
2015-02-21,244.53399658203125,255.32000732421875,243.1840057373047,243.7519989013672,12284200.0,53.79229109968233,0.8963675577849699,2.7638254561862805,-1.8674578984013106,235.58173690650045,241.70640258789064,247.83106826928082,5.0678555601464454,0.730836599190407,-77175604.0,15.080432506125403,21.88089243154586,29.56406069367823,12.78087304431915,54.761112817356604,51.30840085485943
2015-02-22,235.9770050048828,246.3919982910156,233.8509979248047,244.54400634765625,19527000.0,49.5366455473916,0.699462259266113,2.053536126133939,-1.354073866867826,232.99987594702705,240.17980346679687,247.3597309865667,5.978793733805676,0.2073230579040167,-96702604.0,14.895115221422198,22.133950356677097,27.747576115732443,16.56812193328288,51.90637527500564,52.0728538187738
2015-02-23,238.8919982910156,240.10899353027344,232.42100524902344,235.9949951171875,16400000.0,50.959948856493746,0.7697557233173029,1.6990636721481032,-0.9293079488308004,234.37293866560807,240.69300231933593,247.0130659730638,5.251555793336114,0.357516939148388,-80302604.0,14.36998136219772,22.209005522309635,26.665919504400787,16.64734226504887,48.66644775469556,51.77797861568593
2015-02-24,238.7350006103516,239.9010009765625,236.4019927978516,238.9980010986328,14200400.0,50.87671868342057,0.8035327736369879,1.3862725779742306,-0.5827398043372427,233.86478721575628,240.3834014892578,246.90201576275933,5.42351446324203,0.3735620171907515,-94503004.0,13.579022861365441,22.27813930157268,26.16597905589508,16.335233029249107,43.97475718266582,48.182526737455674
2015-02-25,237.47000122070312,239.33999633789065,235.52999877929688,238.88999938964844,11496200.0,50.16576547171547,0.71992757373161,1.0421339024550822,-0.3222063287234722,233.31729373341634,239.12160034179686,244.9259069501774,4.854690333356701,0.3577264062248984,-105999204.0,12.869184935549976,22.234160403211092,25.603095437056695,16.476174840825802,44.077546411187804,45.572917116183056
2015-02-26,236.42599487304688,237.7100067138672,234.2570037841797,237.3370056152344,13619400.0,49.550353149630894,0.5629380637507779,0.7081155139794001,-0.14517745022862216,235.1442773602337,237.5,239.8557226397663,1.9837664334874094,0.27204338303178327,-119618604.0,12.185828288040769,22.029834867992104,25.07658504586979,16.895484356889924,39.85551308094553,42.635938891599714
2015-02-27,253.8280029296875,256.65301513671875,236.43600463867188,236.43600463867188,44013900.0,58.65499218058727,1.8217197107200036,1.5735177287589006,0.248201981961103,228.18643221733618,241.07019958496093,253.9539669525857,10.68880964118014,0.9951115221462815,-75604704.0,12.768731509977835,23.183713091512136,32.95118691016078,14.955354378733777,48.164711712727716,44.032590401620354
2015-02-28,254.26300048828125,254.69200134277344,249.47900390625,253.5200042724609,13949300.0,58.854884004223074,2.821884969165268,2.058946389763332,0.762938579401936,227.90762152455451,244.14440002441407,260.38117852427365,13.300963280940225,0.8115950760785055,-61655404.0,12.221599515352144,24.248848877922658,31.933425516465153,14.493429217821937,57.73474854021159,48.58499111129495
2015-03-01,260.2019958496094,261.6600036621094,245.93299865722656,254.2830047607422,25213700.0,61.585601888047876,4.047098007093979,2.627327542153634,1.4197704649403446,229.1306061160457,248.43779907226562,267.7449920284855,15.54287876347176,0.8046583934811165,-36441704.0,12.47518621251639,25.635590693245078,33.06178182535982,13.171651742175976,78.18153465526193,61.36033163606708
2015-03-02,275.6700134277344,276.3009948730469,258.31298828125,260.35699462890625,40465700.0,67.61423738091904,6.194817909058401,3.8200379552944446,2.374779953763956,230.8522216824469,256.0778015136719,281.3033813448969,19.701496718666736,0.8883401698820547,4023996.0,12.8736287506773,27.61003293892179,37.942708732864745,11.841460291239354,88.05923059881148,74.658504598095
